IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
27.109.227.28,443,FALSE,ICN,MA,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,246,16.28
122.100.144.27,8092,FALSE,ICN,MA,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,206,7.38
27.109.227.27,443,FALSE,ICN,MA,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,221,9.39
122.100.201.117,443,FALSE,ICN,MA,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,279,8.68
122.100.144.27,12371,FALSE,ICN,MA,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,279,8.69
122.100.144.27,12370,FALSE,ICN,MA,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,279,15.39
