IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
210.91.8.234,30042,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,439,3.25
220.87.237.210,12106,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,412,3.22
218.150.71.1,18051,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,405,3.21
61.79.68.220,12221,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,407,3.20
121.149.20.40,17184,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,421,3.10
146.56.166.32,2083,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,460,3.05
121.168.236.190,30053,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,517,2.85
121.158.231.203,10007,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,317,2.69
203.229.224.162,10443,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,347,2.63
121.147.131.116,10243,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,518,2.62
119.207.232.151,12116,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,341,2.59
193.123.250.209,2087,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,528,2.22
222.108.18.150,19013,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,421,2.12
203.175.47.27,30061,TRUE,ICN,KR,Asia Pacific,Seoul,17573,SK Broadband Co Ltd,290,1.93
112.161.97.22,18264,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,393,1.81
183.98.120.11,12266,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,250,1.78
111.65.134.21,30003,TRUE,ICN,KR,Asia Pacific,Seoul,17573,SK Broadband Co Ltd,253,1.78
218.157.246.88,12590,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,507,1.69
124.80.55.214,30050,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,257,1.58
140.238.7.57,9999,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,496,1.41
211.248.216.119,10018,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,542,1.03
203.229.84.193,30001,TRUE,ICN,KR,Asia Pacific,Seoul,38095,SK Broadband Co Ltd,196,0.99
59.187.242.236,18010,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,868,0.71
59.187.242.236,35000,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,815,0.65
59.187.242.236,32757,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,818,0.58
59.187.242.236,30100,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,865,0.46
59.187.242.236,10026,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,815,0.46
59.187.242.236,12296,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,802,0.43
59.187.242.236,22103,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,824,0.41
59.187.242.236,11434,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,716,0.37
59.187.242.236,10043,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,788,0.36
59.187.242.236,12293,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,696,0.35
59.187.242.236,10093,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,847,0.30
59.187.242.236,12419,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,691,0.28
59.187.242.236,28080,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,894,0.27
59.187.242.236,24442,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,712,0.25
59.187.242.236,12152,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,918,0.24
59.187.242.236,18225,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,647,0.24
59.187.242.236,10823,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,728,0.23
150.230.254.21,1443,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,602,0.23
59.187.242.236,12433,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,821,0.20
59.187.242.236,10041,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,898,0.18
59.187.242.236,10200,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,873,0.17
59.187.242.236,12354,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,687,0.13
59.187.242.236,12363,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,870,0.12
59.187.242.236,25006,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,739,0.11
58.239.203.25,21299,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,388,0.10
59.187.242.236,12578,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,882,0.10
59.187.242.236,17770,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,761,0.09
